trial,targetSide,bladeAngle,response,correct,reversal
1,right,45,right,1,False
2,left,45,left,1,False
3,right,45,right,1,False
4,right,35,right,1,False
5,right,35,right,1,False
6,right,35,right,1,False
7,right,25,right,1,False
8,left,25,left,1,False
9,right,25,right,1,False
10,left,15,right,-1,True
11,right,25,right,1,False
12,left,25,left,1,False
13,left,25,left,1,True
14,right,20,left,-1,True
15,left,25,left,1,False
16,right,25,right,1,False
17,right,25,right,1,True
18,left,23,left,1,False
19,left,23,left,1,False
20,left,23,left,1,False
21,right,21,left,-1,True
22,left,23,left,1,False
23,right,23,right,1,False
24,right,23,right,1,True
